id,title,context_tweet,text,pred_cot,gpt_regionalisms,dict_regionalisms,has_regionalisms,CHECK,Notas,
405714,"Alberto Fernández se refirió a los incidentes en el velorio de Maradona: ""Debimos haber previsto la presencia de barrabravas""","Alberto Fernández reconoció que hubo barrabravas en los incidentes durante el velorio de Maradona: “Debimos haberlo previsto, confiamos en la conciencia social” https://t.co/FXwzoOBfNS",@usuario Por ahí no lo vio a DiZeo entrando a casa Rosada la noche anterior. Por ahí..,"respuesta: La expresión ""Por ahí no lo vio a DiZeo"" es un término regional en Argentina, refiriéndose a un conocido líder de barrabravas en el país. La respuesta final es sí.",['por ahi no lo vio a dizeo'],"['a casa', 'interior']",TRUE,0,,2
383278,"Por el coronavirus, Alberto Fernández avaló la prisión domiciliaria para presos comunes","Por el coronavirus, Alberto Fernández avaló la prisión domiciliaria para presos comunes https://t.co/v3wU6Q1Y2q",@usuario Los  +20000 #ArgentinosVarados ni siquiera tenemos certeza de cuando vamos a volver a casa. Claro nuestros derechos son discutibles diría el canciller @usuario,respuesta: El comentario no contiene expresiones regionales. La respuesta final es no.,[],['a casa'],TRUE,0,,1547
348520,"Científicos identificaron en China otro virus respiratorio ""con potencial para convertirse en pandemia""",Científicos identificaron en China otro virus respiratorio“con potencial para convertirse en pandemia” https://t.co/TQYuvSXqrT,@usuario OTRA VEZ VAN A QUEMAR VIVOS A MILES DE CERDOS ESOS HIJOS DE PUTA.,"La expresión ""esos hijos de puta"" es un insulto de carácter coloquial pero no es exclusivo de Argentina, por lo que no se considera un término regional del español de Argentina. La respuesta final es no.",[],"['a mil', 'quemar', 'vivo']",TRUE,0,,
373179,"Alberto Fernández: ""Vamos a dar batalla contra la inseguridad, no queremos hacernos los distraídos""",El Presidente encabezó una videoconferencia en donde anticipó que la semana que viene anunciará medidas para combatir el delito en la provincia de Buenos Aires https://t.co/49UXfwTmBS https://t.co/9r0LXwsdLW,@usuario Pero no fue éste mismo sorete el que hace pocas semanas liberó y premió a miles de delincuentes??,"respuesta: La expresión ""éste mismo sorete"" es de carácter regional en Argentina y se refiere de forma despectiva a una persona. La respuesta final es sí.",['este mismo sorete'],"['a mil', 'sorete']",TRUE,0,,
369274,"Juana Viale: ""¿Termina este mandato el Gobierno?""","Juana Viale: ""¿Termina este mandato el Gobierno?"" https://t.co/hGmInRVN8j","@usuario Juana, por favor cambiá el perfil del programa, parece al de tu abuela, aburrido, llevá gente que nos haga pasar un buen momento, el de ayer trataron temas que todos concemos, de seguir así, el programa de Andy siempre es mejor, gracias",respuesta: El comentario no contiene expresiones regionales. La respuesta final es no.,[],"['aburrido', 'tema']",TRUE,0,,
383289,"Por el coronavirus, Alberto Fernández avaló la prisión domiciliaria para presos comunes","Por el coronavirus, Alberto Fernández avaló la prisión domiciliaria para presos comunes https://t.co/v3wU6Q1Y2q","@usuario Delitos de violacion, abuso de menores, asesinatos, causas x drogas, terrorismo, lesa humanidad el codigo penal dice q NO se les puede dar esos beneficios, y ademas primero se les consulta a las victimas. El juez que accede a esos pefidos esta faltando al Codigo Penal Argentino!!","La expresión ""pefidos"" no es un término regional del español de Argentina. La respuesta final es no.",[],"['abuso', 'dar']",TRUE,0,,
384188,"Manoseó a una mujer en la calle, fue denunciado y cayó por las cámaras de seguridad","#VIDEO Manoseó a una mujer en la calle, fue denunciado y cayó por las cámaras de seguridad #CrónicaPoliciales #DegeneradoAtacóAUnaMujer #ImágenesIndignantes https://t.co/NqcbiEumg5","@usuario BASTA de decir MANOSEO es un ABUSO y ULTRAJE 
Punto","La expresión ""manoseo"" no es un término regional específico de Argentina, ya que se utiliza en varios países de habla hispana para referirse al acto de tocar de forma inapropiada a una persona. Por lo tanto, la respuesta final es no.",[],['abuso'],TRUE,0,,
358033,Familiares y barras de Quilmes despidieron al ladrón asesinado por el jubilado en un polémico cortejo,El polémico cortejo del ladrón asesinado por el jubilado en Quilmes https://t.co/bKtIOJ6n4m https://t.co/6UvBqDXS41,@usuario Ah claro ellos no rompen la cuarentena.. tampoco cuando fueron a acosar al pobre jubilado.. muerte a los runner!,"respuesta: La expresión ""muerte a los runner"" es de carácter regional en Argentina y se refiere de manera irónica a las personas que salen a correr durante la cuarentena, a pesar de las restricciones. La respuesta final es sí.",['muerte a los runner'],"['acosar', 'al sobre']",TRUE,0,,
345182,Coronavirus: el duro insulto de Claudio Zin contra Ofelia Fernández en la radio,Coronavirus: el duro insulto de Claudio Zin contra Ofelia Fernández en la radio https://t.co/W0xcjmSdi2 https://t.co/tLSj8Bt9Nv,@usuario Este es el degenerado que acosó a la Lestelle?,"respuesta: El término ""degenerado"" no es específicamente regional de Argentina, ya que se utiliza en varios países de habla hispana para referirse a una persona considerada moralmente corrupta o despreciable. La respuesta final es no.",[],['acosar'],TRUE,0,,
343668,"Coronavirus en la Argentina. Andrés Larroque criticó el banderazo por Vicentin: ""Se generó una bomba sanitaria""","Coronavirus en la Argentina. Andrés Larroque criticó el banderazo por Vicentin: ""Se generó una bomba sanitaria"" https://t.co/msvsjyiM5j https://t.co/67gONlqvbY","@usuario Si la injusticia es la Ley, la rebelión es una obligación. 
Activaron el Art. 29 de la Constitución Nacional Argentina.","La frase ""Si la injusticia es la Ley, la rebelión es una obligación"" no contiene expresiones regionales. La respuesta final es no.",[],['activar'],TRUE,0,,
