id,context_tweet,text,chatgpt_output,pred
339709,Coronavirus: un diario inglés asegura que los mercados chinos siguen vendiendo murciélagos y carne de animales domésticos https://t.co/qFPs4aHf6D,@usuario Que gente de mierda .,"La expresión ""gente de mierda"" no es un término regional específico de Argentina, por lo que la respuesta final es no.",0
395003,"Murió el periodista Mario Pereyra, ícono de la radio de Córdoba https://t.co/MZtxmqFP4o",@usuario Cuánto zurdito resentido en los comentarios...,"El comentario contiene la expresión ""zurdito"", que es un término regional en Argentina utilizado de forma despectiva para referirse a personas de izquierda política. La respuesta final es sí.",1
381327,"""Se terminó, a salir a la calle”: detuvieron a un hombre que se grabó llamando a romper la cuarentena obligatoria https://t.co/VCK2uezc9p",@usuario Flor de imbécil,"La expresión ""Flor de imbécil"" no es considerada como un término regional del español de Argentina. La respuesta final es no.",0
371979,El polémico mensaje de Cinthia Fernández sobre la muerte de un delincuente en un intento de robo https://t.co/odv7PghHxL,@usuario Y que tiene tiene de polémico???,"La expresión ""Y que tiene tiene"" no es un término regional del español de Argentina. La respuesta final es no.",0
342998,Coronavirus: China anunció que no registró ningún caso nuevo local https://t.co/bg8d1fSwBX https://t.co/M47osbSpVL,@usuario Chinos de mierda q se maten todos,"La expresión ""chinos de mierda"" es ofensiva y peyorativa, pero no se considera un término regional específico de Argentina. La respuesta final es no.",0
360287,El divertido pedido de Jimena Barón a Alberto Fernández por la falta de intimidad en cuarentena https://t.co/6e8rPmXrVd,@usuario Llevaba 5 días sin reírme. Ahora van 6..,El comentario no contiene expresiones regionales. La respuesta final es no.,0
407017,"El tamaño, ¿importa?: cómo medirlo y consejos para una penetración más placentera | Por Cecilia Ce https://t.co/6MNdfYk5LI","@usuario Por supuesto que el tamaño NO IMPORTA,,,,,TENERLA CHICA NO CUENTA Y NO IMPORTA😂😂😂😂😂😂😂😂","La expresión ""tenerla chica"" es una expresión regional en Argentina utilizada para referirse a un pene de tamaño pequeño. La respuesta final es sí.",1
407369,¿Se puede ser feminista y llorar a Diego Maradona? https://t.co/cdAPQ8PuEL https://t.co/VggCrUXUaZ,@usuario Ustedes son una mierda,El comentario no contiene expresiones regionales. La respuesta final es no.,0
334492,🔴 AHORA | El Gobierno habilitó el arribo de más de 200 médicos cubanos para atender el pico de la pandemia https://t.co/MNHYfDb7e0 https://t.co/qLtyXPknXb,@usuario No hay médicos en Argentina? O tenemos que recibir espías agitadores e médicos inútiles como los cubanos?,"La expresión ""espías agitadores e médicos inútiles como los cubanos"" no contiene un término regional específico. La respuesta final es no.",0
386305,El Gobierno respaldó el proyecto para que el Estado se quede con acciones de las empresas a las que ayuda durante la pandemia https://t.co/78kq4nG3On,"@usuario El Gobierno respaldó la propuesta del Estado?????. . . no son lo mismo, sobre todo en época de peronismo????. . . No se les cae otra idea que no sea quedarse con lo que no les pertenece?????. . . tantos eruditos y mba de Harvard y no tiran un centro como la gente????","El comentario contiene expresiones regionales como ""época de peronismo"" y ""tirar un centro"", siendo este último un término futbolístico utilizado en Argentina para referirse a dar un pase o una asistencia. La respuesta final es sí.",1
368291,Tres extranjeros incumplían la cuarentena total y agredieron a los policías que quisieron identificarlos https://t.co/r40lhweP5P,"@usuario Deportación, 3 problemas menos.","La expresión ""3 problemas menos"" no es un término regional ya que es una expresión común que se puede utilizar en cualquier país de habla hispana. La respuesta final es no.",0
342025,Efecto coronavirus: ¿ahora la grieta es entre Alberto Fernández y Cristina Kirchner? https://t.co/wM6sIQRMZ6,@usuario La grieta es lo q publica Clarín versus la veracidad!!!,"La expresión ""la grieta"" no es un término regional del español de Argentina, ya que se utiliza de manera más amplia en otros países de habla hispana para referirse a la división o polarización política. La respuesta final es no.",0
398513,En Salta mandaron a un abusador a la casa porque se llovía su calabozo: vive al lado de la nena que atacó https://t.co/vHITnb3yzt,@usuario @usuario Basura,El comentario no contiene expresiones regionales. La respuesta final es no.,0
397208,Yanina Latorre le respondió a quienes la cuestionaron porque su mamá se vacunó contra el COVID-19 en Estados Unidos https://t.co/w9t3G6NIBX,"@usuario Muy triste, no saber que la vida no se compra,.",El comentario no contiene expresiones regionales. La respuesta final es no.,0
388614,"“Los padres confían en mí, ese es su problema”: los mensajes de un docente de una escuela evangélica en los que admite que abusó de menores https://t.co/it8bmQEa9e","@usuario @usuario Que terrible!!!! Para terminoar con esto hay que avabar con la cultura de la violación. Además  aprender a escuchar a lxs niñxs,  creerles, enseñarles #Esi 
#BastaDeAsi #BastaDeViolencias",El comentario no contiene expresiones regionales. La respuesta final es no.,0
