model,label,metric,score
gpt-3.5,WOMEN,precision,0.3286384976525822
gpt-3.5,WOMEN,precision,0.32926829268292684
gpt-3.5,WOMEN,precision,0.3006134969325153
gpt-3.5,WOMEN,precision,0.3409090909090909
gpt-3.5,WOMEN,precision,0.30057803468208094
gpt-3.5,WOMEN,precision,0.2903225806451613
gpt-3.5,WOMEN,precision,0.24444444444444444
gpt-3.5,WOMEN,precision,0.29069767441860467
gpt-3.5,WOMEN,precision,0.24598930481283424
gpt-3.5,WOMEN,precision,0.2897727272727273
gpt-3.5,WOMEN,precision,0.2702702702702703
gpt-3.5,WOMEN,precision,0.2573099415204678
gpt-3.5,WOMEN,precision,0.25906735751295334
gpt-3.5,WOMEN,precision,0.2766990291262136
gpt-3.5,WOMEN,precision,0.23626373626373626
gpt-3.5,WOMEN,precision,0.22807017543859648
gpt-3.5,WOMEN,precision,0.3149171270718232
gpt-3.5,WOMEN,precision,0.2647058823529412
gpt-3.5,WOMEN,precision,0.2956989247311828
gpt-3.5,WOMEN,precision,0.3036649214659686
gpt-3.5,WOMEN,precision,0.3277777777777778
gpt-3.5,WOMEN,precision,0.2094240837696335
gpt-3.5,WOMEN,precision,0.27388535031847133
gpt-3.5,WOMEN,precision,0.23417721518987342
gpt-3.5,WOMEN,precision,0.25
gpt-3.5,WOMEN,precision,0.3146067415730337
gpt-3.5,WOMEN,precision,0.30939226519337015
gpt-3.5,WOMEN,precision,0.29651162790697677
gpt-3.5,WOMEN,precision,0.2534246575342466
gpt-3.5,WOMEN,precision,0.2682926829268293
gpt-3.5,WOMEN,precision,0.33136094674556216
gpt-3.5,WOMEN,precision,0.24157303370786518
gpt-3.5,WOMEN,precision,0.19387755102040816
gpt-3.5,WOMEN,precision,0.21301775147928995
gpt-3.5,WOMEN,precision,0.23809523809523808
gpt-3.5,WOMEN,precision,0.22162162162162163
gpt-3.5,WOMEN,precision,0.25949367088607594
gpt-3.5,WOMEN,precision,0.30158730158730157
gpt-3.5,WOMEN,precision,0.3216374269005848
gpt-3.5,WOMEN,precision,0.23353293413173654
gpt-3.5,WOMEN,precision,0.24324324324324326
gpt-3.5,WOMEN,precision,0.27325581395348836
gpt-3.5,WOMEN,precision,0.24175824175824176
gpt-3.5,WOMEN,precision,0.27906976744186046
gpt-3.5,WOMEN,precision,0.2698412698412698
gpt-3.5,WOMEN,precision,0.30113636363636365
gpt-3.5,WOMEN,precision,0.25961538461538464
gpt-3.5,WOMEN,precision,0.26256983240223464
gpt-3.5,WOMEN,precision,0.26666666666666666
gpt-3.5,WOMEN,precision,0.29714285714285715
gpt-3.5,WOMEN,precision,0.2603550295857988
gpt-3.5,WOMEN,precision,0.29714285714285715
gpt-3.5,WOMEN,precision,0.28125
gpt-3.5,WOMEN,precision,0.27710843373493976
gpt-3.5,WOMEN,precision,0.32515337423312884
gpt-3.5,WOMEN,precision,0.2534246575342466
gpt-3.5,WOMEN,precision,0.2147239263803681
