,context_tweet,text,pred_cot
385,"“Fílmame, india horrible”: así se refirió una pareja argentina a vecina de Ciudad de México por la poda de árboles https://t.co/K9sFAt2HKM","@usuario Síndrome del macrismo, en cana los dos y a la mierda. Por culpa de pelotudos como estos nos ven como nos ven","El texto hace referencia a una ""india horrible"", lo cual alude a la apariencia de la vecina y su origen étnico. También se refiere a la pareja como ""pelotudos"". La respuesta final es ""racismo, aspecto""."
335,"""Te amo "". La emotiva dedicatoria de Luis Novaresio a su pareja en su cumpleaños https://t.co/Hh63kaVA5U https://t.co/vNaUBjBkzx",@usuario Definitivamente no acepto esta degeneración repugnante de la humanidad.,"El texto se refiere a la relación de pareja de Luis Novaresio, pero no contiene ningún discurso de odio ni menciona ninguna característica protegida. La respuesta final es 'nada'."
592,Jonatan Viale aceptó las disculpas de Alberto Fernández https://t.co/bLRZRy3vpw,"@usuario LO HICIERON CARGO Y SE HIZO CARGO, GORDOS LECHOSOS EN A24 HUFFFF SI HABRÁ !!","El comentario se refiere a los periodistas en A24 como ""gordos lechosos"", haciendo una alusión a su aspecto físico y su raza. La respuesta final es ""aspecto, racismo""."
559,"El desesperado pedido de Actrices Argentinas ante la violencia de género en cuarentena: ""Es urgente"" https://t.co/ARA0WcCFw3",@usuario Comparto solicitud de estas mujeres,"El texto apoya la solicitud de las actrices y no contiene ningún discurso de odio. La respuesta final es ""mujer"""
877,"Oscar González Oro ya está instalado en el Uruguay: ""Recuperé mi libertad"" https://t.co/w0xql1gHbS",@usuario Vayan yendo....yno vuelvan,"El comentario insta a que las personas se vayan y no vuelvan. Aunque no se menciona ninguna característica protegida directamente, este comentario puede ser considerado como discurso de odio hacia un grupo que incluya inmigrantes o personas de otra nacionalidad. La respuesta final es ""racismo"""
1078,Nahir Galarza sumó a una abogada feminista a su defensa: “Buscamos un juicio con perspectiva de género” https://t.co/78rlZYsx41,@usuario Asesinaaaaaaaaaaaaa,"El texto se refiere a Nahir Galarza como ""asesina"", pero no menciona ninguna de las características protegidas. La respuesta final es ""nada""."
301,China: Vuelven a vender murciélagos y carne de animales domésticos a pesar del Coronavirus #OtrasVezComenMurciélagos #YComenAnimalesDomésticos #AsíNo #QuéHorror #Coronavirus #China https://t.co/DTaFQaWzFH,@usuario Dios estos chinos son unos forros. Que se hagan unas papas fritas y se dejan de joder,"El texto critica a los chinos por vender murciélagos y carne de animales domésticos, pero no contiene expresiones de rechazo intenso o irracional contra ellos por características protegidas. La respuesta final es 'nada'."
730,Su novia es mexicana y Migraciones le exige casi 50 mil pesos para dejarla ingresar a la Argentina | Por Cinthia Ruth https://t.co/dnNHPbdo7m,@usuario Q cruce x bolivia q no hay drama,"El comentario menciona a Bolivia y sugiere que la persona debería ingresar a Argentina a través de ese país, haciéndole un comentario despectivo. La respuesta final es ""racismo""."
236,"“Mica” y “Maru”, las viudas negras de WhatsApp que drogaron a un empresario y le robaron más de 70 mil dólares | Por Martín Candalaft https://t.co/OpRPN3zxco",@usuario Gil... que bueno que te haya pasado... seguro eran dos gatos que llamaste así que no armes tanta historia,El texto no contiene discurso de odio. La respuesta final es 'nada'.
440,Coronavirus en Argentina: el 70% de los casos son en hombres https://t.co/f4OXwC4wtl,@usuario Otro dato para la falacia feminista.,"El texto critica a la ""falacia feminista"". La respuesta final es ""mujer"""
47,Alarma en China: más de 3000 personas se enfermaron tras la fuga de una bacteria https://t.co/hwnlVfqRyV https://t.co/hZTIJRUpSv,@usuario Suspendan china,El comentario sugiere que se debería suspender a China por la propagación de la bacteria. No hace ninguna mención a ninguna característica protegida. La respuesta final es 'nada'.
1035,La pregunta billonaria: ¿China debería pagar el costo de la pandemia? https://t.co/Ld5Ri2LxNj https://t.co/b1lFCr1BqZ,"@usuario O por lo menos ayudar a los países más pobres y dar explicaciones  , no puede ser que desataron una pandemia mundial y además quieran hacer negocios con la vacuna 😡","El texto critica a China por desatar una pandemia mundial y querer hacer negocios con la vacuna. No contiene declaraciones de rechazo, enemistad o aborrecimiento hacia un grupo específico. La respuesta final es 'nada'."
586,Alberto Fernández ratifica su distancia diplomática con Trump y hoy dialoga con Xi Jinping para profundizar la relación con China | Por Román Lejtman https://t.co/c9FfNBSMbR,@usuario Que hdp que es!!! China es lo peor,El comentario critica a China como lo peor. No se mencionan características protegidas. La respuesta final es 'nada'
18,"Carla Vizzotti: ""Cualquier resfrío en este invierno es coronavirus hasta que se demuestre lo contrario"" https://t.co/L1tdNN1Lz4",@usuario Larguen la ayahuasca muchachas 😳,"El comentario hace alusión a que las mujeres que hablan sobre el tema del coronavirus están bajo los efectos de la ayahuasca, insinuando que están en un estado de alteración mental. La respuesta final es ""mujer, discapacidad"""
590,Evo Morales aseguró desde Buenos Aires que Luis Arce ganó las elecciones en Bolivia https://t.co/puEDB1K5IQ,@usuario Como les gusta el flan a los sudamericanos. Están condenados a la pobreza eterna.,"El texto generaliza y estigmatiza a los sudamericanos, refiriéndose de manera negativa a su gusto por el flan y adjudicando que están condenados a la pobreza. La respuesta final es ""racismo, clase""."
217,Última encuesta: ¿Qué mujer superó a Alberto Fernández en imagen positiva? https://t.co/LtXtx1gqqR https://t.co/Fve05cJa36,@usuario Chorro y travesti?,"El texto alude a Alberto Fernández como ""chorro"" (en referencia a delincuente) y ""travesti"" (un término peyorativo para referirse a personas trans). La respuesta final es ""política, lgbti""."
772,El exabrupto de una Diputada bonaerense sobre las personas que violan la cuarentena: “Son hijos de puta y pelotudos pero tienen derecho a un respirador” | Por Matías Russo Coroman https://t.co/Qs2C6KSprg,@usuario Esta gorda que se quede encerrada por 3 años más. Pasate un koleston raizuda!,"El texto hace referencia al aspecto físico de la diputada (gorda) y le recomienda que se tiña las raíces de su cabello. La respuesta final es ""aspecto"""
587,China: identificaron otro virus “con potencial para convertirse en pandemia” #NuevoVirus #China #TransportadoPorCerdos #PodríaInfectarAHumanos #LasActualesVacunasPodríanAdaptarse #MásEnLaNota https://t.co/PfFGNEhY1O,@usuario con razon cerraron China x años...se encerraron...Encierrense muchachos.,"El texto hace referencia al cierre de China por años, pero no contiene expresiones de rechazo o enemistad contra ningún individuo o grupo protegido. La respuesta final es 'nada'."
256,Pedro Sánchez: “Argentina es hoy una nación más feminista” https://t.co/5s89M2akC5,"@usuario Jajajajjajajajajajja el tuerto se ríe del degollado. Pues nada, argentina con la crisis que tiene, que coma feminismo.","El comentario se burla de la declaración de Pedro Sánchez y menciona que Argentina debería centrarse en otros problemas en lugar de ""comer feminismo"". La respuesta final es ""mujer"""
680,"😂[QUIEN PUDIERA]😂 Desopilante respuesta de More Rial cuando le preguntaron de qué trabaja: ""Me la rasco..."" &gt;&gt;&gt; En medio de una transmisión de Instagram reveló cuáles son sus hábitos laborales y sorprendió a todos sus seguidores. ¡Mirá!

https://t.co/0KWlc9ecBm","@usuario Más que desopilante, es una vergüenza que le aplaudan la vagancia a esta bolsa de papas. Iba a decir "" Se rasca los huevos como Rial""...pero no...osea....no tiene....no hay. ..solo dos bolsitas vacías....sentiende?",El comentario critica a More Rial por ser vaga y no trabajar. No se realiza ninguna mención a una característica protegida. La respuesta final es 'nada'.
476,Graciana Peñafort: “La marcha me dio mucha pena y tuvo un nivel de convocatoria menor al esperado” https://t.co/sPiBqGmFIg,"@usuario a quien le importa lo que piensa esta mujer ? 
es tan importante para ponerla en primera plana ?","El comentario menosprecia la opinión de Graciana Peñafort por ser mujer. La respuesta final es ""mujer"""
674,😱[¡SORPRESA!]😱 ¿More Rial encontró el amor en un personal trainer? &gt;&gt;&gt; La mediática compartió una transmisión en vivo con un apuesto entrenador personal donde se mostraron muy íntimos. ¡Mirá el video! https://t.co/awXwWic01Q,@usuario Mira las noticias porongas que ponen. No la toca nadie a la gorda esa,"El texto alude a su aspecto (gorda) y la desprecia. La respuesta final es ""aspecto"""
